,Nanoseconds,Timestamp,a1p,a1s,a1o,a2p,a2s,a2o,a3p,a3s,a3o,a4p,a4s,a4o,a5p,a5s,a5o,b1p,b1s,b1o,b2p,b2s,b2o,b3p,b3s,b3o,b4p,b4s,b4o,b5p,b5s,b5o
0,14408375068557,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AFB9E8>,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,37.51,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
1,14408375070724,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B218D0>,38.99,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,37.51,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
2,14408376576717,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B43400>,38.99,1000,1,39.0,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,37.51,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
3,14408376578107,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B43A20>,38.99,1000,1,39.0,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------,37.51,1000,1,37.5,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------
4,14408379069692,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B21BE0>,38.99,1000,1,39.0,1000,1,39.01,1000,1,-------,-------,-------,-------,-------,-------,37.51,1000,1,37.5,1000,1,-------,-------,-------,-------,-------,-------,-------,-------,-------
5,14408379071192,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B4F6D8>,38.99,1000,1,39.0,1000,1,39.01,1000,1,-------,-------,-------,-------,-------,-------,37.51,1000,1,37.5,1000,1,37.49,1000,1,-------,-------,-------,-------,-------,-------
6,14408381293557,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B43828>,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,200,1,-------,-------,-------,37.51,1000,1,37.5,1000,1,37.49,1000,1,-------,-------,-------,-------,-------,-------
7,14408381294502,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B69240>,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,200,1,-------,-------,-------,37.51,1000,1,37.5,1000,1,37.49,1000,1,37.48,300,1,-------,-------,-------
8,14414344677650,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B54B38>,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,200,1,-------,-------,-------,37.51,1000,1,37.5,1000,1,37.49,1000,1,37.48,1000,2,-------,-------,-------
9,14414344685426,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B697B8>,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,1000,2,-------,-------,-------,37.51,1000,1,37.5,1000,1,37.49,1000,1,37.48,1000,2,-------,-------,-------
10,14414346865834,<v10_Main_Message_Parser.NanoTime object at 0x0000027412B648D0>,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,1000,2,-------,-------,-------,37.52,2000,1,37.51,1000,1,37.5,1000,1,37.49,1000,1,37.48,1000,2
11,14414346889861,<v10_Main_Message_Parser.NanoTime object at 0x00000274129F4828>,38.98,2000,1,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,1000,2,37.52,2000,1,37.51,1000,1,37.5,1000,1,37.49,1000,1,37.48,1000,2
12,14414349172354,<v10_Main_Message_Parser.NanoTime object at 0x00000274129F4208>,38.98,2000,1,38.99,1000,1,39.0,1000,1,39.01,1000,1,39.02,1000,2,37.53,1000,1,37.52,2000,1,37.51,1000,1,37.5,1000,1,37.49,1000,1
13,14414349176122,<v10_Main_Message_Parser.NanoTime object at 0x00000274129F1630>,38.97,1000,1,38.98,2000,1,38.99,1000,1,39.0,1000,1,39.01,1000,1,37.53,1000,1,37.52,2000,1,37.51,1000,1,37.5,1000,1,37.49,1000,1
14,14414350552643,<v10_Main_Message_Parser.NanoTime object at 0x0000027412A005F8>,38.97,1000,1,38.98,2000,1,38.99,1000,1,39.0,1000,1,39.01,1000,1,37.53,1000,1,37.52,3000,2,37.51,1000,1,37.5,1000,1,37.49,1000,1
15,14414350553632,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AC1860>,38.97,1000,1,38.98,3000,2,38.99,1000,1,39.0,1000,1,39.01,1000,1,37.53,1000,1,37.52,3000,2,37.51,1000,1,37.5,1000,1,37.49,1000,1
16,14414350597571,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AC1780>,38.97,1000,1,38.98,3000,2,38.99,1000,1,39.0,1000,1,39.01,1000,1,37.54,2000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1,37.5,1000,1
17,14414350629064,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AE73C8>,38.96,2000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,39.0,1000,1,37.54,2000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1,37.5,1000,1
18,14414352917708,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AD2B70>,38.96,2000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,39.0,1000,1,37.55,1000,1,37.54,2000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1
19,14414352918962,<v10_Main_Message_Parser.NanoTime object at 0x0000027412AD2E10>,38.95,1000,1,38.96,2000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,37.55,1000,1,37.54,2000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1
20,14414354267710,<v10_Main_Message_Parser.NanoTime object at 0x0000027412DA19B0>,38.95,1000,1,38.96,2000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,37.56,2000,1,37.55,1000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1
21,14414354305497,<v10_Main_Message_Parser.NanoTime object at 0x0000027412DA1748>,38.94,2000,1,38.95,1000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,37.56,2000,1,37.55,1000,1,37.53,1000,1,37.52,1000,1,37.51,1000,1
22,14414354561911,<v10_Main_Message_Parser.NanoTime object at 0x0000027412DA1E80>,38.94,2000,1,38.95,1000,1,38.97,1000,1,38.98,1000,1,38.99,1000,1,37.56,2000,1,37.55,1000,1,37.54,1000,1,37.53,1000,1,37.52,1000,1
23,14414354562901,<v10_Main_Message_Parser.NanoTime object at 0x0000027412DD8BA8>,38.94,2000,1,38.95,1000,1,38.96,1000,1,38.97,1000,1,38.98,1000,1,37.56,2000,1,37.55,1000,1,37.54,1000,1,37.53,1000,1,37.52,1000,1
